customers.CustomerId,customers.FirstName,customers.LastName,customers.Company,customers.Address,customers.City,customers.State,customers.Country,customers.PostalCode,customers.Phone,customers.Fax,customers.Email,customers.SupportRepId
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br,3
2,Leonie,Köhler,NA,Theodor-Heuss-Straße 34,Stuttgart,NA,Germany,70174,+49 0711 2842222,NA,leonekohler@surfeu.de,5
3,François,Tremblay,NA,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,+1 (514) 721-4711,NA,ftremblay@gmail.com,3
4,Bjørn,Hansen,NA,Ullevålsveien 14,Oslo,NA,Norway,0171,+47 22 44 22 22,NA,bjorn.hansen@yahoo.no,4
5,František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,NA,Czech Republic,14700,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com,4
6,Helena,Holý,NA,Rilská 3174/6,Prague,NA,Czech Republic,14300,+420 2 4177 0449,NA,hholy@gmail.com,5
7,Astrid,Gruber,NA,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NA,Austria,1010,+43 01 5134505,NA,astrid.gruber@apple.at,5
8,Daan,Peeters,NA,Grétrystraat 63,Brussels,NA,Belgium,1000,+32 02 219 03 03,NA,daan_peeters@apple.be,4
9,Kara,Nielsen,NA,Sønder Boulevard 51,Copenhagen,NA,Denmark,1720,+453 3331 9991,NA,kara.nielsen@jubii.dk,4
10,Eduardo,Martins,Woodstock Discos,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br,4
11,Alexandre,Rocha,Banco do Brasil S.A.,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,+55 (11) 3055-3278,+55 (11) 3055-8131,alero@uol.com.br,5
12,Roberto,Almeida,Riotur,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,+55 (21) 2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br,3
13,Fernanda,Ramos,NA,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,+55 (61) 3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br,4
14,Mark,Philips,Telus,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,5
15,Jennifer,Peterson,Rogers Canada,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,+1 (604) 688-2255,+1 (604) 688-8756,jenniferp@rogers.ca,3
16,Frank,Harris,Google Inc.,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,+1 (650) 253-0000,+1 (650) 253-0000,fharris@google.com,4
17,Jack,Smith,Microsoft Corporation,1 Microsoft Way,Redmond,WA,USA,98052-8300,+1 (425) 882-8080,+1 (425) 882-8081,jacksmith@microsoft.com,5
18,Michelle,Brooks,NA,627 Broadway,New York,NY,USA,10012-2612,+1 (212) 221-3546,+1 (212) 221-4679,michelleb@aol.com,3
19,Tim,Goyer,Apple Inc.,1 Infinite Loop,Cupertino,CA,USA,95014,+1 (408) 996-1010,+1 (408) 996-1011,tgoyer@apple.com,3
20,Dan,Miller,NA,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,+1 (650) 644-3358,NA,dmiller@comcast.com,4
21,Kathy,Chase,NA,801 W 4th Street,Reno,NV,USA,89503,+1 (775) 223-7665,NA,kachase@hotmail.com,5
22,Heather,Leacock,NA,120 S Orange Ave,Orlando,FL,USA,32801,+1 (407) 999-7788,NA,hleacock@gmail.com,4
23,John,Gordon,NA,69 Salem Street,Boston,MA,USA,2113,+1 (617) 522-1333,NA,johngordon22@yahoo.com,4
24,Frank,Ralston,NA,162 E Superior Street,Chicago,IL,USA,60611,+1 (312) 332-3232,NA,fralston@gmail.com,3
